Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType
MU,959.47998046875,993.29,888.29,0.66,888.29,993.29,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+345.7%) | 💾 記憶體儲存共振,16,16.66,0,8.0,🎯 甜點價,888.29,929.25,836.6,81.92,8.5,up,0.87,3.4572,,50.2,1,0,0,0,1,none
LITE,829.7000122070312,784.61,870.56,0.64,870.56,859.88,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+90.1%) | 💾 記憶體儲存共振,16,16.64,0,-4.7,🎯 甜點價,870.56,905.23,725.7,69.33,8.4,down,0.59,0.9012,,52.4,1,1,0,0,1,consolidation_dip
SNDK,1599.27001953125,1784.87,1647.95,0.63,1647.95,1784.87,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+251.0%) | 💾 記憶體儲存共振,16,16.630000000000003,0,-3.0,🎯 甜點價,1647.95,1751.77,1287.82,207.63,13.0,down,0.23,2.5103,,46.6,1,1,0,0,0,consolidation_dip
INSM,106.63999938964844,109.16,109.89,0.57,109.89,110.58,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+229.6%) | 🧬 生技共振,16,16.57,0,-3.0,🎯 甜點價,109.89,112.09,100.03,4.41,4.1,down,0.74,2.2962,,47.0,1,1,0,0,0,consolidation_dip
AVGO,396.80999755859375,380.73,403.16,0.65,403.16,398.59,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+47.9%) | 🧠 AI半導體共振,15,15.65,0,-1.6,🎯 甜點價,403.16,410.97,373.37,15.63,3.9,down,0.41,0.4787,,53.6,1,1,0,0,1,consolidation_dip
WDC,556.6699829101562,566.17,537.85,0.61,537.85,566.17,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+45.5%) | 💾 記憶體儲存共振,15,15.61,0,3.5,🎯 甜點價,537.85,565.44,473.9,55.18,9.9,up,0.34,0.4547,,50.2,1,1,0,0,1,consolidation_dip
AEP,133.07000732421875,135.03,131.62,0.68,131.62,135.67,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+10.2%) | ⚡ AI電力共振,14,14.68,0,1.1,🎯 甜點價,131.62,132.96,129.06,2.67,2.0,up,0.54,0.102,,49.9,1,1,0,0,1,consolidation_dip
AMAT,553.9199829101562,597.48,511.16,0.59,511.16,597.48,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+11.4%) | 🔧 半導體設備共振,14,14.59,0,8.4,🎯 甜點價,511.16,535.19,481.82,48.07,8.7,up,0.89,0.1141,,48.0,1,0,0,0,1,none
LRCX,319.2900085449219,352.47,326.02,0.58,326.02,352.47,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+23.8%) | 🔧 半導體設備共振,14,14.58,0,-2.1,🎯 甜點價,326.02,339.77,278.03,27.5,8.6,down,0.24,0.2376,,44.4,1,1,0,0,0,consolidation_dip
MRVL,210.9900054931641,237.24,225.32,0.52,225.32,237.24,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+27.6%) | 🧠 AI半導體共振,14,14.52,0,-6.4,🎯 甜點價,225.32,235.31,181.03,19.97,9.5,down,0.72,0.2757,,43.5,1,1,0,0,0,consolidation_dip
