SnapshotSchemaVersion,SnapshotRecordType,SnapshotRunStatus,SnapshotErrorType,SnapshotErrorMessage,Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,PriorityPreTheme,PriorityPostTheme,ScorePreTheme,RankScore,RevenueScore,ThemeScore,EligiblePreTheme,EligiblePostTheme,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,PreGapStatus,SignalEngineVersion,MeasurementVersion,GitCommitSha,ConfigHash,UniverseVersion,SnapshotAsOfET,DataBarDate,ScanSession,ScanAfterOpen,SnapshotTimingSource,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,MarketBias,VixLevel,SpyPrice,SpyPrevClose,SpyGapPct,QqqPrice,QqqPrevClose,QqqGapPct,EsFuturesPct,NqFuturesPct,BreadthPct,SmallCapWeak,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType,DiagnosticSetupTypeV1,TradePlanStatus,TradePlanVersion,PlanMeasurementVersion,PlanSelectedLeg,OrderType,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason
v1.3.1,data,ok,,,SHOP,112.0,120.27,113.63,0.68,113.63,128.26,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+34.3%) | 🌐 網路消費共振 | ⚡ 盤前跳空⬆️ +4.8%,15,15.68,12,15,12.68,15.68,2,3,1,1,0,0,0,-1.4,🎯 甜點價,113.63,116.65,102.93,6.04,5.4,down,0.27,0.3432,4.83,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-23,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,113.63,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,40.7,1,1,0,0,0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,113.63,113.63,113.63,116.65,104.56,5,40,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim
v1.3.1,data,ok,,,WDAY,135.33999633789062,136.67,131.44,0.65,131.44,147.83,consolidate,"📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+13.5%) | 💻 軟體雲端共振 | 🚨 盤前極端跳空 +9.5%(多為財報/事件,謹慎)",14,14.65,11,14,11.65,14.65,1,3,1,1,0,0,0,3.0,🎯 甜點價,131.44,135.42,123.39,7.97,5.9,up,0.49,0.1348,9.52,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,131.44,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,50.0,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,131.44,135.42,131.44,135.42,119.49,5,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone
v1.3.1,data,ok,,,ABNB,141.10000610351562,145.49,139.39,0.59,139.39,146.8,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+17.9%) | 🌐 網路消費共振 | ⚡ 盤前跳空⬆️ +4.0%,14,14.59,11,14,11.59,14.59,1,3,1,1,0,0,0,1.2,🎯 甜點價,139.39,141.49,134.8,4.2,3.0,up,0.41,0.1787,3.95,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,139.39,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,46.9,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,139.39,141.49,139.39,141.49,133.09,5,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone
v1.3.1,data,ok,,,BKNG,172.8300018310547,179.34,170.0,0.54,170.0,184.36,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+16.2%) | 🌐 網路消費共振 | ⚡ 盤前跳空⬆️ +4.4%,14,14.54,11,14,11.54,14.54,1,3,1,1,0,0,0,1.7,🎯 甜點價,170.0,172.96,163.94,5.93,3.4,up,0.48,0.1617,4.39,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-23,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,170.0,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,45.3,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,170.0,172.96,170.0,172.96,161.11,5,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone
v1.3.1,data,ok,,,KDP,29.68000030517578,31.36,30.32,0.69,30.32,31.36,consolidate,📐 盤整甜點位｜量縮低接 | 🛒 消費共振,13,13.69,10,13,10.69,13.69,0,3,1,1,0,0,0,-2.1,🎯 甜點價,30.32,30.76,28.37,0.87,2.9,down,0.74,0.0938,0.78,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,30.32,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,40.4,1,1,0,0,0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,30.32,30.32,30.32,30.76,29.01,5,40,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim
v1.3.1,data,ok,,,XEL,81.66999816894531,80.23,79.43,0.62,79.43,82.06,consolidate,📐 盤整甜點位｜量縮低接 | ⚡ AI電力共振,13,13.62,10,13,10.62,13.62,0,3,1,1,0,0,0,2.8,🎯 甜點價,79.43,80.66,77.99,1.61,2.0,up,0.91,0.0294,1.58,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,79.43,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,58.8,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,79.43,80.66,79.43,80.66,75.75,5,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone
v1.3.1,data,ok,,,INSM,106.91999816894533,109.48,108.95,0.61,108.95,109.99,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+229.6%),13,13.61,13,13,13.61,13.61,3,0,1,1,0,0,0,-1.9,🎯 甜點價,108.95,110.98,100.84,4.06,3.8,down,0.5,2.2962,-0.28,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,108.95,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,47.6,1,1,0,0,0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,108.95,108.95,108.95,110.98,102.87,5,40,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim
v1.3.1,data,ok,,,WDC,519.7999877929688,554.11,542.63,0.54,542.63,576.37,consolidate,📐 盤整甜點位｜量縮低接 | ✨ 季營收強勢+30%(+45.5%) | ⚡ 盤前跳空⬇️ -4.3%,12,12.54,12,12,12.54,12.54,2,0,1,1,0,0,0,-4.2,🎯 甜點價,542.63,567.53,445.09,49.81,9.6,down,0.46,0.4547,-4.3,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,542.63,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,45.6,1,1,0,0,0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,542.63,542.63,542.63,567.53,467.92,5,40,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim
v1.3.1,data,ok,,,DXCM,71.54000091552734,72.86,69.76,0.56,69.76,77.09,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+15.0%),11,11.56,11,11,11.56,11.56,1,0,1,1,0,0,0,2.6,🎯 甜點價,69.76,71.1,67.53,2.68,3.7,up,0.67,0.1505,1.87,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,69.76,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,47.3,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,69.76,71.1,69.76,71.1,65.75,5,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone
v1.3.1,data,ok,,,ZS,142.32000732421875,144.8,143.22,0.34,143.22,153.22,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+25.4%) | ⚡ 盤前跳空⬆️ +4.1%,11,11.34,11,11,11.34,11.34,1,0,1,1,0,0,0,-0.6,🎯 甜點價,143.22,146.98,131.04,7.52,5.3,down,0.12,0.2543,4.08,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,143.22,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,49.6,1,1,0,0,0,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,143.22,143.22,143.22,146.98,131.94,5,40,intraday,initial_stop_or_d40_close,2026-07-27,price_below_ma60_wait_for_reclaim
v1.3.1,data,ok,,,DASH,172.91000366210938,186.33,170.25,0.74,170.25,191.55,consolidate,🌤️ 守均線拉回｜回測MA60不破 | ✨ 季營收強勢+30%(+33.1%) | 🌐 網路消費共振 | ⚡ 盤前跳空⬆️ +3.9%,10,10.74,7,10,7.74,10.74,2,3,1,1,0,0,0,1.6,🎯 甜點價,170.25,174.29,160.78,8.09,4.7,up,0.33,0.3311,3.86,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma60,170.25,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,43.3,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,170.25,174.29,170.25,174.29,158.12,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma60_anchor
v1.3.1,data,ok,,,TRI,90.1500015258789,89.71,86.78,0.62,86.78,96.65,consolidate,"📐 盤整甜點位｜量縮低接 | 🚨 盤前極端跳空 +6.0%(多為財報/事件,謹慎)",10,10.62,10,10,10.62,10.62,0,0,1,1,0,0,0,3.9,🎯 甜點價,86.78,88.96,83.6,4.37,4.8,up,0.77,0.0984,6.03,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,86.78,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,52.1,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,86.78,88.96,86.78,88.96,80.23,5,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone
v1.3.1,data,ok,,,TTWO,231.6499938964844,243.47,231.29,0.57,231.29,243.47,consolidate,📐 盤整甜點位｜量縮低接 | ⚡ 盤前跳空⬆️ +2.5%,10,10.57,10,10,10.57,10.57,0,0,1,1,0,0,0,0.2,🎯 甜點價,231.29,234.53,221.92,6.48,2.8,up,0.06,0.0615,2.5,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,231.29,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,43.7,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,231.29,234.53,231.29,234.53,221.56,5,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone
v1.3.1,data,ok,,,LIN,512.280029296875,521.53,512.02,0.55,512.02,521.53,consolidate,📐 盤整甜點位｜量縮低接,10,10.55,10,10,10.55,10.55,0,0,1,1,0,0,0,0.1,🎯 甜點價,512.02,517.58,495.6,11.12,2.2,up,0.02,0.0825,1.33,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,512.02,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,46.8,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,512.02,517.58,512.02,517.58,495.34,5,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_inside_ma60_zone
v1.3.1,data,ok,,,ADSK,209.75,207.31,220.49,1.19,220.49,219.14,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+18.4%) | 💻 軟體雲端共振 | ⚡ 盤前跳空⬆️ +3.9%,9,10.19,6,9,7.19,10.19,1,3,0,1,1,0,0,-4.9,📍 偏離待回 ↓,216.6,220.49,200.42,7.77,3.7,down,1.38,0.1843,3.87,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,207.31,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,49.9,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,207.31,211.2,207.31,211.2,195.65,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor
v1.3.1,data,ok,,,ORLY,87.4000015258789,87.13,89.35,0.94,89.35,90.58,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+10.2%) | 🛒 消費共振,9,9.94,6,9,6.94,9.94,1,3,0,1,1,0,0,-2.2,🎯 甜點價,89.35,90.8,83.04,2.91,3.3,down,0.67,0.1024,1.8,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,87.13,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,50.4,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,87.13,88.58,87.13,88.58,82.77,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor
v1.3.1,data,ok,,,AEP,135.5399932861328,134.96,131.65,0.76,131.65,136.57,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+10.2%) | ⚡ AI電力共振,9,9.76,6,9,6.76,9.76,1,3,0,1,1,0,0,3.0,🎯 甜點價,131.65,133.68,129.44,2.64,2.0,up,0.96,0.102,1.39,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,134.96,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,55.8,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,134.96,136.99,134.96,136.99,128.86,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor
v1.3.1,data,ok,,,ADBE,225.1100006103516,220.89,231.6,0.76,231.6,236.66,consolidate,"🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+12.7%) | 💻 軟體雲端共振 | 🚨 盤前極端跳空 +8.4%(多為財報/事件,謹慎)",9,9.76,6,9,6.76,9.76,1,3,0,1,1,0,0,-2.8,🎯 甜點價,231.6,236.54,210.28,9.89,4.4,down,0.66,0.1269,8.4,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,220.89,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,51.4,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,220.89,225.83,220.89,225.83,206.06,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor
v1.3.1,data,ok,,,ISRG,337.5,388.35,413.91,1.41,413.91,388.35,transition_low,📉 低檔超賣反彈｜RSI 32 止穩 | 📈 季營收成長+10%(+18.5%) | ⚡ 盤前跳空⬆️ +3.4%,8,9.41,8,8,9.41,9.41,1,0,1,1,0,0,0,-18.5,⚠️ 已偏離,0.0,0.0,312.8,16.47,4.9,down,4.64,0.1854,3.43,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,oversold_bounce,oversold_bounce,7,previous_high,341.83,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,31.7,0,0,0,1,0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,oversold_bounce,buy_stop_reclaim,previous_high,341.83,343.48,343.48,347.6,312.8,5,40,intraday,initial_stop_or_d40_close,2026-07-27,oversold_requires_break_above_signal_bar_high
v1.3.1,data,ok,,,GOOGL,319.739990234375,352.19,368.23,0.97,368.23,359.68,transition_low,📉 低檔超賣反彈｜RSI 32 止穩 | 📈 季營收成長+10%(+24.2%) | ⚡ 盤前跳空⬆️ +2.1%,8,8.97,8,8,8.97,8.97,1,0,1,1,0,0,0,-13.2,⚠️ 已偏離,0.0,0.0,302.87,11.25,3.5,down,4.31,0.2423,2.12,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,oversold_bounce,oversold_bounce,7,previous_high,324.18,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,32.5,0,0,0,0,0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,oversold_bounce,buy_stop_reclaim,previous_high,324.18,325.3,325.3,328.11,302.87,5,40,intraday,initial_stop_or_d40_close,2026-07-27,oversold_requires_break_above_signal_bar_high
v1.3.1,data,ok,,,MDLZ,60.52000045776367,59.77,60.62,0.9,60.62,60.98,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 🛒 消費共振,8,8.9,5,8,5.9,8.9,0,3,0,1,1,0,0,-0.2,🎯 甜點價,60.62,61.4,58.17,1.57,2.6,down,0.06,0.0824,0.52,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,59.77,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,51.7,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,59.77,60.55,59.77,60.55,57.42,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor
v1.3.1,data,ok,,,SBUX,103.25,104.63,102.91,0.84,102.91,106.65,consolidate,🌤️ 守均線拉回｜回測MA60不破 | 🛒 消費共振,8,8.84,5,8,5.84,8.84,0,3,0,1,1,0,0,0.3,🎯 甜點價,102.91,104.28,99.13,2.74,2.7,up,0.12,0.0879,0.67,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma60,102.91,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,48.2,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,102.91,104.28,102.91,104.28,98.79,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma60_anchor
v1.3.1,data,ok,,,CSCO,114.16999816894533,114.37,113.34,0.78,113.34,114.57,consolidate,🌤️ 守均線拉回｜回測MA60不破 | 📈 季營收成長+10%(+12.0%) | ⚡ 盤前跳空⬆️ +2.7%,6,6.78,6,6,6.78,6.78,1,0,0,0,0,0,0,0.7,🎯 甜點價,113.34,115.09,108.93,3.49,3.1,up,0.24,0.1196,2.68,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma60,113.34,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,49.4,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,113.34,115.09,113.34,115.09,108.1,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma60_anchor
v1.3.1,data,ok,,,FAST,47.02000045776367,46.61,45.52,0.67,45.52,47.09,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+14.7%) | ⚡ 盤前跳空⬆️ +3.3%,6,6.67,6,6,6.67,6.67,1,0,0,0,0,0,0,3.3,📍 偏離待回 ↑,46.2,47.56,45.39,1.36,2.9,up,1.1,0.1474,3.34,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,46.61,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,55.2,1,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,46.61,47.29,46.61,47.29,44.57,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor
v1.3.1,data,ok,,,MAR,374.4299926757813,371.01,372.56,0.79,372.56,375.78,consolidate,🌤️ 守均線拉回｜回測MA20不破 | ⚡ 盤前跳空⬆️ +4.3%,5,5.79,5,5,5.79,5.79,0,0,0,0,0,0,0,0.5,🎯 甜點價,372.56,376.65,362.17,8.17,2.2,up,0.23,0.0624,4.26,available,v1.2.0,legacy-v0,7b43ec7d5f6a0ef589599ae64de75ece384acb54,c62717051b17ab85,ndx-99-78834e47b659,2026-07-27T09:01:46.597631-04:00,2026-07-24,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,371.01,,bull,17.729999542236328,745.42,738.18,0.98,694.0709,691.95996,0.31,0.89,1.43,0.3434,0,51.4,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,371.01,375.1,371.01,375.1,358.75,3,40,intraday,initial_stop_or_d40_close,2026-07-27,pullback_limit_uses_ma20_anchor
