SnapshotSchemaVersion,SnapshotRecordType,SnapshotRunStatus,SnapshotErrorType,SnapshotErrorMessage,UniverseExpectedCount,UniverseDisposition,UniverseExclusionReason,DollarVolumeMedian20,Ticker,Price,MA20,MA60,VolRatio,Support,Resistance,Position,Status,Priority,Score,PriorityPreTheme,PriorityPostTheme,ScorePreTheme,RankScore,RevenueScore,ThemeScore,EligiblePreTheme,EligiblePostTheme,CrossedThresholdDueToTheme,EnteredTop10DueToTheme,ConsecDays,DistMA60Pct,DistTag,EntryLow,EntryHigh,StopLoss,ATR,ATR_Pct,DistDirection,DistATRMult,YoY,PreGapPct,PreGapStatus,PreMarketPrice,PreMarketQuoteTimeET,PreGapReferencePrice,PreGapReferenceDate,PreGapReferenceBasis,PreGapDefinitionVersion,SignalEngineVersion,MeasurementVersion,GitCommitSha,ConfigHash,UniverseVersion,SnapshotAsOfET,DataBarDate,ScanSession,ScanAfterOpen,SnapshotTimingSource,CandidateLeg,SelectedLeg,LegScoreRaw,LegAnchor,LegAnchorPrice,VetoReason,MarketBias,VixLevel,SpyPrice,SpyPrevClose,SpyGapPct,QqqPrice,QqqPrevClose,QqqGapPct,EsFuturesPct,NqFuturesPct,BreadthPct,SmallCapWeak,RSI,VolDry,NearMA60,Oversold,RsiTurnUp,HoldMA,SetupType,DiagnosticSetupTypeV1,TradePlanStatus,TradePlanVersion,PlanMeasurementVersion,PlanSelectedLeg,OrderType,PlanAnchor,PlanAnchorPrice,TriggerPrice,PlanEntryLow,PlanEntryHigh,PlanStopLoss,PlanValidDays,PlanTimeExitDays,PlanStopType,PlanExitRule,PlanEarliestEntryDate,PlanReason
v1.3.3,data,ok,,,99,processed,,714569429.46,CEG,262.75,258.16,267.13,0.54,267.13,277.19,consolidate,📐 盤整甜點位｜量縮低接 | 🚀 季營收爆量+50%(+63.8%) | ⚡ AI電力共振,16,16.54,13,16,13.54,16.54,3,3,1,1,0,0,0,-1.6,🎯 甜點價,267.13,271.52,249.57,8.79,3.3,down,0.5,0.6385,0.48,available,264.0,2026-08-03T09:00:40-04:00,262.75,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,267.13,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,51.0,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_stop_reclaim,ma60,267.13,267.13,267.13,271.52,253.95,5,40,intraday,initial_stop_or_d40_close,2026-08-03,price_below_ma60_wait_for_reclaim
v1.3.3,data,ok,,,99,processed,,369620378.97,ALNY,205.5200042724609,279.24,288.83,3.34,288.83,290.6,low,📉 低檔超賣反彈｜RSI 24 止穩 | 🚀 季營收爆量+50%(+66.9%),10,13.34,10,10,13.34,13.34,3,0,1,1,0,0,0,-28.8,⚠️ 已偏離,0.0,0.0,176.59,19.28,9.4,down,4.32,0.6686,1.45,available,208.5,2026-08-03T09:00:04-04:00,205.5200042724609,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,oversold_bounce,oversold_bounce,7,previous_high,207.99,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,23.5,0,0,1,0,0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,oversold_bounce,buy_stop_reclaim,previous_high,207.99,209.92,209.92,214.74,176.59,5,40,intraday,initial_stop_or_d40_close,2026-08-03,oversold_requires_break_above_signal_bar_high
v1.3.3,data,ok,,,99,processed,,1162818413.92,INTU,316.07000732421875,291.78,307.64,0.67,307.64,336.94,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+10.4%) | ⚡ 盤前跳空⬆️ +3.0%,11,11.67,11,11,11.67,11.67,1,0,1,1,0,0,0,2.7,🎯 甜點價,307.64,315.43,292.69,15.59,4.9,up,0.54,0.1037,2.99,available,325.53,2026-08-03T09:00:40-04:00,316.07000732421875,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,307.64,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,59.2,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,307.64,315.43,307.64,315.43,284.26,5,40,intraday,initial_stop_or_d40_close,2026-08-03,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,519324314.5,PDD,88.55999755859375,85.12,86.46,0.53,86.46,89.71,consolidate,📐 盤整甜點位｜量縮低接 | 📈 季營收成長+10%(+11.0%),11,11.53,11,11,11.53,11.53,1,0,1,1,0,0,0,2.4,🎯 甜點價,86.46,87.62,85.08,2.32,2.6,up,0.91,0.1103,0.95,available,89.4,2026-08-03T08:59:27-04:00,88.55999755859375,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,consolidation_dip,consolidation_dip,10,ma60,86.46,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,60.1,1,1,0,0,1,consolidation_dip,consolidation_dip,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,consolidation_dip,buy_limit_zone,ma60,86.46,87.62,86.46,87.62,82.98,5,40,intraday,initial_stop_or_d40_close,2026-08-03,pullback_limit_inside_ma60_zone
v1.3.3,data,ok,,,99,processed,,4204764501.81,STX,856.1300048828125,843.04,872.8,1.43,872.8,921.78,consolidate,🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+44.1%) | 💾 記憶體儲存共振 | ⚡ 盤前跳空⬇️ -4.2%,10,11.43,7,10,8.43,11.43,2,3,1,1,0,0,0,-1.9,🎯 甜點價,872.8,912.35,737.49,79.09,9.2,down,0.21,0.4407,-4.21,available,820.11,2026-08-03T08:59:34-04:00,856.1300048828125,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,843.04,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,50.1,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,843.04,882.59,843.04,882.59,724.4,3,40,intraday,initial_stop_or_d40_close,2026-08-03,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,4021747425.02,WDC,544.8400268554688,528.46,547.89,1.11,547.89,580.0,consolidate,🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+45.5%) | 💾 記憶體儲存共振 | ⚡ 盤前跳空⬇️ -3.7%,10,11.11,7,10,8.11,11.11,2,3,1,1,0,0,0,-0.6,🎯 甜點價,547.89,573.21,468.89,50.63,9.3,down,0.06,0.4547,-3.72,available,524.55,2026-08-03T09:00:29-04:00,544.8400268554688,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,528.46,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,51.0,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,528.46,553.78,528.46,553.78,452.51,3,40,intraday,initial_stop_or_d40_close,2026-08-03,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,12487055720.86,TSLA,311.2099914550781,363.93,396.34,0.67,396.34,363.93,low,📉 低檔超賣反彈｜RSI 32 止穩+量縮 | 📈 季營收成長+10%(+25.5%),9,9.67,9,9,9.67,9.67,1,0,1,1,0,0,0,-21.5,⚠️ 已偏離,0.0,0.0,288.16,15.37,4.9,down,5.54,0.2552,0.49,available,312.7241,2026-08-03T09:00:51-04:00,311.2099914550781,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,oversold_bounce,oversold_bounce,8,previous_high,315.5,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,31.7,1,0,0,0,0,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,oversold_bounce,buy_stop_reclaim,previous_high,315.5,317.04,317.04,320.88,288.16,5,40,intraday,initial_stop_or_d40_close,2026-08-03,oversold_requires_break_above_signal_bar_high
v1.3.3,data,ok,,,99,processed,,402688943.59,EXC,45.81999969482422,46.71,45.78,1.12,45.78,48.49,consolidate,🌤️ 守均線拉回｜回測MA60不破 | ⚡ AI電力共振,8,9.12,5,8,6.12,9.12,0,3,0,1,1,1,0,0.1,🎯 甜點價,45.78,46.3,44.25,1.05,2.3,up,0.04,0.0995,,stale_quote,46.28,2026-08-03T07:34:05-04:00,45.81999969482422,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma60,45.78,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,44.8,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma60,45.78,46.3,45.78,46.3,44.21,3,40,intraday,initial_stop_or_d40_close,2026-08-03,pullback_limit_uses_ma60_anchor
v1.3.3,data,ok,,,99,processed,,7871877513.42,AVGO,389.2799987792969,384.73,399.57,0.81,399.57,399.92,consolidate,🌤️ 守均線拉回｜回測MA20不破 | ✨ 季營收強勢+30%(+47.9%),7,7.81,7,7,7.81,7.81,2,0,1,1,0,0,0,-2.6,🎯 甜點價,399.57,407.53,365.4,15.92,4.1,down,0.65,0.4787,-1.03,available,385.28,2026-08-03T09:00:52-04:00,389.2799987792969,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,384.73,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,51.5,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,384.73,392.69,384.73,392.69,360.85,3,40,intraday,initial_stop_or_d40_close,2026-08-03,pullback_limit_uses_ma20_anchor
v1.3.3,data,ok,,,99,processed,,9573050761.66,GOOGL,356.1300048828125,348.05,364.83,1.46,364.83,358.58,consolidate,🌤️ 守均線拉回｜回測MA20不破 | 📈 季營收成長+10%(+24.2%) | ⚡ 盤前跳空⬆️ +2.0%,6,7.46,6,6,7.46,7.46,1,0,0,0,0,0,0,-2.4,🎯 甜點價,364.83,370.87,338.0,12.08,3.4,down,0.72,0.2423,2.02,available,363.3137,2026-08-03T09:00:52-04:00,356.1300048828125,2026-07-31,signal_bar_close_auto_adjusted,v1.3.2-signal-bar-close,v1.2.1,legacy-v0,ad3a05d7d63091add596584c8aa6ceafedbbc39c,8142e595d788ac06,ndx-99-78834e47b659,2026-08-03T09:01:34.440502-04:00,2026-07-31,premarket,0,xnys,healthy_pullback,healthy_pullback,5,ma20,348.05,,neutral,15.9399995803833,751.2,747.030029296875,0.56,689.5699,687.989990234375,0.23,0.59,0.18,0.5556,0,54.3,0,1,0,0,1,none,none,shadow_ready,v1.3.1-shadow,v1.3.1-shadow,healthy_pullback,buy_limit_zone,ma20,348.05,354.09,348.05,354.09,329.92,3,40,intraday,initial_stop_or_d40_close,2026-08-03,pullback_limit_uses_ma20_anchor
